Correlation_Correlation_EnhancedEndo_EnhancedLysosome,Correlation_Costes_EnhancedEndo_EnhancedLysosome,Correlation_Costes_EnhancedLysosome_EnhancedEndo,Correlation_K_EnhancedEndo_EnhancedLysosome,Correlation_K_EnhancedLysosome_EnhancedEndo,Correlation_Manders_EnhancedEndo_EnhancedLysosome,Correlation_Manders_EnhancedLysosome_EnhancedEndo,Correlation_Overlap_EnhancedEndo_EnhancedLysosome,Correlation_RWC_EnhancedEndo_EnhancedLysosome,Correlation_RWC_EnhancedLysosome_EnhancedEndo,Correlation_Slope_EnhancedEndo_EnhancedLysosome
0.730733713,0.801557,0.741723,0.309889,2.58813,0.582311,0.755006,0.895562,0.29185107,0.429091049,0.247031
0.696524929,0.810795,0.699515,0.311324,2.64597,0.344527,0.729307,0.907609,0.164781604,0.397571843,0.24161
0.684065889,0.824082,0.648039,0.210069,3.77857,0.807235,0.471803,0.890933,0.35143801,0.235769683,0.197387
0.707488605,0.8025,0.715165,0.268347,2.93661,0.667433,0.703189,0.887711,0.323213816,0.386241185,0.221211
0.695910039,0.812855,0.682851,0.242262,3.27809,0.6985,0.649259,0.891154,0.32968696,0.351135778,0.205871
0.734379152,0.83578,0.733092,0.266196,3.11886,0.682182,0.637032,0.911169,0.296827253,0.308543742,0.225891
0.71755043,0.804438,0.725944,0.259419,3.18269,0.692996,0.707464,0.908652,0.32386437,0.369818388,0.211615
0.705262106,0.846975,0.728,0.260339,2.94506,0.735261,0.62827,0.875623,0.371932879,0.366427255,0.226165
0.733497083,0.839262,0.753716,0.242155,3.37348,0.700935,0.765853,0.903828,0.319871069,0.395142295,0.204189
0.675692952,0.848556,0.671441,0.254065,2.94877,0.793782,0.484368,0.865552,0.378833211,0.265168681,0.243789
0.724442828,0.757813,0.736419,0.359351,2.34094,0.668484,0.641605,0.917181,0.337517127,0.354676994,0.291082
0.715663692,0.895737,0.687837,0.229995,3.45502,0.840688,0.64901,0.891424,0.410593208,0.365771795,0.217033
